Sr No,Product Name,,BoM,Material,Surface Finish,Surface Area(mm2),Thickness(mm),Unit Weight(kg),Total Weight(kg),UoM,Quantity
32,DD01-00-35-015,MCB MTG BRACKET,DD01-04-30-000SA_R3] ROBOT FRAME STRUCTURE,AISI 1020,IVORY POWDER COAT,12218.71,1,0.05,0.1,Unit,2
33,ST03-10-01-008,PSR TOP COVER WITH LOGO,ST03-10-01-000SA] PSR STRUCTURE ASSEMBLY,AISI 1020,BLACK POWDER COATING,60881.18,1,0.24,3.84,Unit,16
34,ST03-10-00-005,PSR BOTTOM WIRE COVER,ST03-10-00-000MA] PSR STRUCTURE ASSEMBLY,AISI 1020,BLACK POWDER COAT,132833.57,1,0.52,8.32,Unit,16
35,DD01-03-50-129,WIRE DUCT COVER 1 25X30 (L=350 MM),DD01-04-50-000SA_R4] Robot Trolley,AISI 1020,BLUE POWDER COAT,34239.45,1,0.13,0.26,Unit,2
36,DD01-03-50-145,WIRE DUCT COVER 9 25X30 (L=100 MM),DD01-04-50-000SA_R4] Robot Trolley,AISI 1020,BLUE POWDER COAT,7667.94,1,0.03,0.12,Unit,4
37,DD01-04-50-118_R3,WIRE DUCT COVER REAR 47x35 (L=680MM),DD01-04-50-000SA_R4] Robot Trolley,AISI 1020,BLUE POWDER COAT,80709.77,1,0.31,0.62,Unit,2
38,DD01-04-50-131,WIRE DUCT COVER 35x37 (L=860 MM),DD01-04-50-000SA_R4] Robot Trolley,AISI 1020,BLUE POWDER COAT,85777.94,1,0.33,0.66,Unit,2
39,DD01-04-50-133,WIRE DUCT COVER 35x35 (L=185MM),DD01-04-50-000SA_R4] Robot Trolley,AISI 1020,BLUE POWDER COATING,21714.49,1,0.08,0.16,Unit,2
40,DD01-04-50-143,WIRE DUCT COVER 29x42(L=370 MM),DD01-04-50-000SA_R4] Robot Trolley,AISI 1020,POWDER COATING,39109.31,1,0.15,0.3,Unit,2
41,DD01-04-50-151_R1,WIRE DUCT COVER 10 67x30 (L=450 MM),DD01-04-50-000SA_R4] Robot Trolley,AISI 1020,BLUE POWDER COAT,78525.9,1,0.3,0.6,Unit,2
42,DD01-04-50-171,WIRE DUCT COVER 22x35 (L=610 MM),DD01-04-50-000SA_R4] Robot Trolley,AISI 1020,BLUE POWDER COAT,58081.59,1,0.22,0.44,Unit,2
43,DD01-04-50-190,WIRE DUCT COVER 9 37x27 (L=100MM),DD01-04-50-000SA_R4] Robot Trolley,AISI 1020,BLUE POWDER COAT,9725.94,1,0.04,0.16,Unit,4
44,DD01-04-50-195,WIRE DUCT COVER 37x30 (L=420 MM),DD01-04-50-000SA_R4] Robot Trolley,AISI 1020,BLUE POWDER COAT,48504.53,1,0.19,0.38,Unit,2
45,DD01-04-50-199,WIRE DUCT COVER25x30 (L=450 MM),DD01-04-50-000SA_R4] Robot Trolley,AISI 1020,BLUE POWDER COAT,40641.9,1,0.16,0.32,Unit,2
